key,TOTAL_POP,TOTAL_MALE,TOTAL_FEMALE,SEX_RATIO,HH_SIZE,ENUMERATED_HH,QUICK_COUNT_HH,csv_pop_total,csv_pop_male,csv_pop_female,csv_hh_total,csv_sex_ratio,pop_diff,match_method,population,area_km2,density
26|00|14|152|104|028,1457,731,726,101,3.9,373,337,1457.0,731.0,726.0,373.0,100.69,0.0,code_match,1457,0.9820152697941664,1483.7
26|00|14|152|116|028,340,174,166,105,4.0,85,115,340.0,174.0,166.0,85.0,104.82,0.0,code_match,340,0.1948476260579626,1745.0
26|00|14|152|116|268,478,229,249,92,4.1,117,100,478.0,229.0,249.0,117.0,91.97,0.0,code_match,478,0.08938261385873723,5347.8
26|00|14|152|218|068,1822,888,934,95,4.4,416,326,1822.0,888.0,934.0,416.0,95.07,0.0,code_match,1822,1.00344080736772,1815.8
26|00|14|152|345|148,134,68,66,103,3.9,34,55,134.0,68.0,66.0,34.0,103.03,0.0,code_match,134,0.2608542347160904,513.7
26|00|14|152|374|168,1261,632,629,101,4.2,303,213,1261.0,632.0,629.0,303.0,100.48,0.0,code_match,1261,0.6895850694420637,1828.6
26|00|14|152|407|188,384,194,190,102,3.6,106,100,384.0,194.0,190.0,106.0,102.11,0.0,code_match,384,0.3610029775061538,1063.7
26|00|14|152|443|208,889,444,445,100,4.2,214,245,889.0,444.0,445.0,214.0,99.78,0.0,code_match,889,0.32215223480882405,2759.6
26|00|14|152|461|208,878,424,454,93,3.6,244,225,883.0,429.0,454.0,244.0,94.49,5.0,code_match,878,0.9248140569200612,949.4
26|00|14|152|537|248,1474,730,744,98,4.1,363,355,1474.0,730.0,744.0,363.0,98.12,0.0,code_match,1474,1.0287293605364038,1432.8
26|00|14|152|630|308,308,163,145,112,4.2,73,100,308.0,163.0,145.0,73.0,112.41,0.0,code_match,308,0.9047742325810791,340.4
26|00|14|152|637|028,1121,518,603,86,3.9,286,307,1121.0,518.0,603.0,286.0,85.9,0.0,code_match,1121,1.0453036100837683,1072.4
26|00|14|152|646|368,1371,672,699,96,3.8,358,321,1371.0,672.0,699.0,358.0,96.14,0.0,code_match,1371,1.1276908169845985,1215.8
26|00|14|152|714|308,254,125,129,97,3.6,71,75,254.0,125.0,129.0,71.0,96.9,0.0,code_match,254,0.1777672565535791,1428.8
26|00|14|152|714|348,2599,1271,1328,96,5.0,522,520,2599.0,1271.0,1328.0,522.0,95.71,0.0,code_match,2599,0.7162210708999779,3628.8
26|00|14|152|772|368,337,160,177,90,4.2,81,78,337.0,160.0,177.0,81.0,90.4,0.0,code_match,337,0.2995233378560689,1125.1
26|00|14|152|802|388,607,301,306,98,4.0,153,150,607.0,301.0,306.0,153.0,98.37,0.0,code_match,607,0.40871695123228546,1485.1
26|00|14|152|805|388,707,351,356,99,3.8,187,218,707.0,351.0,356.0,187.0,98.6,0.0,code_match,707,0.5401246033520793,1309.0
26|00|14|152|834|028,618,295,323,91,3.8,164,201,618.0,295.0,323.0,164.0,91.33,0.0,code_match,618,0.35489596170573595,1741.4
26|00|14|152|834|036,1978,971,1007,96,3.9,503,435,1978.0,971.0,1007.0,503.0,96.43,0.0,code_match,1978,1.7135190167668932,1154.3
26|00|14|152|834|044,698,341,357,96,3.6,195,246,698.0,341.0,357.0,195.0,95.52,0.0,code_match,698,0.23116963816260497,3019.4
26|00|14|152|834|276,426,215,211,102,4.2,102,115,426.0,215.0,211.0,102.0,101.9,0.0,code_match,426,0.5417115740735025,786.4
26|00|14|161|072|028,810,420,390,108,4.1,198,211,810.0,420.0,390.0,198.0,107.69,0.0,code_match,810,0.43740842152345866,1851.8
26|00|14|161|083|028,940,478,462,104,4.3,218,206,940.0,478.0,462.0,218.0,103.46,0.0,code_match,940,0.4049986337068745,2321.0
26|00|14|161|088|028,338,173,165,105,4.5,75,83,338.0,173.0,165.0,75.0,104.85,0.0,code_match,338,1.1221348073005182,301.2
26|00|14|161|109|028,198,102,96,106,4.0,49,50,199.0,103.0,96.0,49.0,107.29,1.0,code_match,198,0.09697460126302997,2041.8
26|00|14|161|109|036,2246,1140,1105,103,4.0,564,490,2246.0,1140.0,1105.0,564.0,103.17,0.0,code_match,2246,0.36829561754106693,6098.4
26|00|14|161|109|128,484,236,248,95,3.9,123,121,484.0,236.0,248.0,123.0,95.16,0.0,code_match,484,0.2584244562176504,1872.9
26|00|14|161|147|048,545,268,277,97,4.5,120,128,545.0,268.0,277.0,120.0,96.75,0.0,code_match,545,1.059152437863977,514.6
26|00|14|161|147|068,242,123,119,103,3.8,63,67,242.0,123.0,119.0,63.0,103.36,0.0,code_match,242,0.08498082706004073,2847.7
26|00|14|161|147|188,67,34,33,103,4.2,16,14,67.0,34.0,33.0,16.0,103.03,0.0,code_match,67,0.007376660873008502,9082.7
26|00|14|161|155|048,263,121,142,85,4.0,65,59,263.0,121.0,142.0,65.0,85.21,0.0,code_match,263,0.17462993212085473,1506.0
26|00|14|161|192|068,1278,619,659,94,4.1,312,288,1278.0,619.0,659.0,312.0,93.93,0.0,code_match,1278,1.0754000646221615,1188.4
26|00|14|161|198|084,0,0,0,0,0.0,0,0,,,,,,,gpkg_only_no_census_match,0,0.10385566936397483,0.0
26|00|14|161|302|128,452,221,231,96,4.4,103,104,452.0,221.0,231.0,103.0,95.67,0.0,code_match,452,0.11701427525175397,3862.8
26|00|14|161|302|386,110,48,62,77,5.0,22,17,110.0,48.0,62.0,22.0,77.42,0.0,code_match,110,0.026297923442812593,4182.8
26|00|14|161|342|148,407,225,182,124,4.5,90,67,407.0,225.0,182.0,90.0,123.63,0.0,code_match,407,0.6433867255323773,632.6
26|00|14|161|344|148,14,9,5,180,2.8,5,3,14.0,9.0,5.0,5.0,180.0,0.0,code_match,14,0.21728299642135454,64.4
26|00|14|161|441|028,367,168,199,84,3.9,94,81,367.0,168.0,199.0,94.0,84.42,0.0,code_match,367,0.16364119664533128,2242.7
26|00|14|161|441|148,778,389,388,100,4.1,189,192,778.0,389.0,388.0,189.0,100.26,0.0,code_match,778,0.7610173957565881,1022.3
26|00|14|161|441|208,3071,1517,1554,98,4.1,748,718,3071.0,1517.0,1554.0,748.0,97.62,0.0,code_match,3071,0.4666374827376327,6581.1
26|00|14|161|441|308,421,203,218,93,3.9,109,112,421.0,203.0,218.0,109.0,93.12,0.0,code_match,421,0.12251419667904181,3436.3
26|00|14|161|453|208,2009,1035,974,106,4.4,460,440,1992.0,1022.0,970.0,460.0,105.36,-17.0,code_match,2009,0.6080644085822636,3303.9
26|00|14|161|535|128,286,141,145,97,4.3,66,56,286.0,141.0,145.0,66.0,97.24,0.0,code_match,286,0.24660865648049607,1159.7
26|00|14|161|535|208,205,99,106,93,3.7,55,45,205.0,99.0,106.0,55.0,93.4,0.0,code_match,205,0.15000354597965504,1366.6
26|00|14|161|535|248,1081,529,552,96,4.2,259,248,1081.0,529.0,552.0,259.0,95.83,0.0,code_match,1081,0.755866657524704,1430.1
26|00|14|161|535|256,496,244,252,97,4.2,119,90,496.0,244.0,252.0,119.0,96.83,0.0,code_match,496,0.14070219842764656,3525.2
26|00|14|161|539|248,196,117,79,148,3.8,52,54,196.0,117.0,79.0,52.0,148.1,0.0,code_match,196,0.36871399224757634,531.6
26|00|14|161|542|248,1131,534,597,89,3.8,294,274,1130.0,533.0,597.0,294.0,89.28,-1.0,code_match,1131,1.583466007629056,714.3
26|00|14|161|653|308,1604,792,812,98,4.4,363,294,1604.0,792.0,812.0,363.0,97.54,0.0,code_match,1604,0.8031487671879438,1997.1
26|00|14|161|718|348,36,24,12,200,4.5,8,11,36.0,24.0,12.0,8.0,200.0,0.0,code_match,36,0.07320358536080222,491.8
26|00|14|161|760|368,238,118,120,98,4.1,58,57,238.0,118.0,120.0,58.0,98.33,0.0,code_match,238,0.2211385662402177,1076.2
26|00|14|161|775|368,1484,719,765,94,4.2,351,301,1484.0,719.0,765.0,351.0,93.99,0.0,code_match,1484,0.32859048050271533,4516.3
26|00|14|161|803|388,2388,1159,1229,94,4.1,588,603,2388.0,1159.0,1229.0,588.0,94.3,0.0,code_match,2388,0.82779684984694,2884.8
26|00|14|161|835|408,1157,559,598,94,4.2,274,260,1157.0,559.0,598.0,274.0,93.48,0.0,code_match,1157,1.3924001126002272,830.9
26|00|14|179|037|065,675,326,349,93,3.6,185,180,675.0,326.0,349.0,185.0,93.41,0.0,code_match,675,0.8034923403208796,840.1
26|00|14|179|038|065,447,209,238,88,3.8,119,132,447.0,209.0,238.0,119.0,87.82,0.0,code_match,447,0.6647391924667112,672.4
26|00|14|179|076|028,384,183,201,91,4.0,96,122,384.0,183.0,201.0,96.0,91.04,0.0,code_match,384,0.40899828855663606,938.9
26|00|14|179|078|028,1362,657,705,93,3.8,359,368,1362.0,657.0,705.0,359.0,93.19,0.0,code_match,1362,0.9994588377492423,1362.7
26|00|14|179|107|028,511,247,264,94,3.7,138,120,511.0,247.0,264.0,138.0,93.56,0.0,code_match,511,0.4084864570131988,1251.0
26|00|14|179|107|048,1114,543,571,95,4.0,280,300,1114.0,543.0,571.0,280.0,95.1,0.0,code_match,1114,1.768190125512237,630.0
26|00|14|179|161|048,866,420,446,94,4.1,212,160,866.0,420.0,446.0,212.0,94.17,0.0,code_match,866,1.4225353979835045,608.8
26|00|14|179|161|056,1055,509,546,93,3.7,283,280,1055.0,509.0,546.0,283.0,93.22,0.0,code_match,1055,1.3694974493526555,770.4
26|00|14|179|161|064,4134,1985,2149,92,3.9,1050,908,4141.0,1992.0,2149.0,1050.0,92.69,7.0,code_match,4134,2.3440030432825005,1763.6
26|00|14|179|216|068,351,155,196,79,3.5,100,120,351.0,155.0,196.0,100.0,79.08,0.0,code_match,351,0.40224347868186083,872.6
26|00|14|179|217|068,739,369,370,100,4.0,185,185,739.0,369.0,370.0,185.0,99.73,0.0,code_match,739,0.764371338002834,966.8
26|00|14|179|219|028,17,7,10,70,2.8,6,5,17.0,7.0,10.0,6.0,70.0,0.0,code_match,17,0.043451612072382476,391.2
26|00|14|179|219|068,1563,779,784,99,4.1,383,361,1563.0,779.0,784.0,383.0,99.36,0.0,code_match,1563,1.1882124554464635,1315.4
26|00|14|179|219|208,118,52,66,79,4.1,29,25,118.0,52.0,66.0,29.0,78.79,0.0,code_match,118,0.11313367012249748,1043.0
26|00|14|179|534|248,986,446,540,83,3.8,259,255,986.0,446.0,540.0,259.0,82.59,0.0,code_match,986,0.7387138511819173,1334.8
26|00|14|179|576|248,1954,972,982,99,4.1,481,340,1949.0,967.0,982.0,481.0,98.47,-5.0,code_match,1954,2.79535732665044,699.0
